tenure,monthly_charges,total_charges,senior_citizen,dependents,tech_support,online_security,num_services,contract,internet_service,payment_method,churn
52,118.95,6169.07,0,0,1,0,4,One year,Fiber optic,Mailed check,0
15,88.43,1267.9,0,0,1,0,7,Month-to-month,Fiber optic,Mailed check,0
72,114.9,8282.92,0,0,0,0,1,Month-to-month,Fiber optic,Credit card,1
61,34.26,2012.01,1,1,0,0,6,Month-to-month,DSL,Electronic check,0
21,58.21,1224.4,0,1,1,1,5,One year,No,Electronic check,0
24,75.47,1740.14,0,0,1,1,7,One year,No,Credit card,0
3,27.68,106.1,0,0,1,1,6,One year,Fiber optic,Mailed check,0
22,20.42,403.02,0,1,0,1,7,Month-to-month,DSL,Mailed check,1
53,87.04,4590.57,0,1,0,1,3,Month-to-month,DSL,Electronic check,1
2,84.18,183.06,0,1,0,1,3,Month-to-month,DSL,Credit card,0
30,61.08,1793.77,0,0,1,0,6,Month-to-month,Fiber optic,Electronic check,1
38,68.96,2617.58,0,0,0,0,7,Two year,DSL,Bank transfer,0
2,61.54,47.39,0,1,1,1,8,Two year,No,Credit card,0
64,22.4,1465.14,0,0,1,1,5,One year,No,Electronic check,0
60,53.54,3300.65,0,1,0,0,4,Two year,Fiber optic,Credit card,0
21,37.71,931.52,0,0,1,1,4,One year,Fiber optic,Mailed check,0
33,29.84,989.28,1,1,1,0,1,Month-to-month,Fiber optic,Bank transfer,0
58,115.67,6748.27,0,0,0,0,5,Two year,No,Mailed check,0
22,79.94,1669.65,0,0,0,0,2,Month-to-month,No,Bank transfer,0
49,92.87,4625.77,0,0,1,1,4,One year,DSL,Electronic check,0
59,51.54,3079.67,0,1,0,0,8,Month-to-month,DSL,Electronic check,0
42,59.31,2466.82,0,0,1,1,1,Month-to-month,Fiber optic,Credit card,1
60,43.69,2683.26,0,0,1,0,3,One year,Fiber optic,Electronic check,0
15,29.7,432.78,0,0,0,1,4,Month-to-month,DSL,Credit card,1
62,37.9,2326.9,0,1,0,0,2,Month-to-month,Fiber optic,Electronic check,1
62,99.75,6208.27,1,0,0,0,3,Month-to-month,No,Mailed check,0
47,87.75,4071.08,0,0,0,0,8,Month-to-month,DSL,Credit card,0
62,74.69,4681.86,1,0,1,0,3,Two year,No,Electronic check,0
51,67.51,3390.21,0,0,1,0,8,One year,DSL,Credit card,0
55,112.24,6120.7,0,0,0,1,7,Month-to-month,No,Mailed check,1
64,27.27,1699.8,0,0,1,0,8,Month-to-month,Fiber optic,Mailed check,0
3,48.06,182.16,0,1,0,1,5,Two year,DSL,Bank transfer,0
51,54.99,2773.65,0,0,1,1,5,Month-to-month,Fiber optic,Mailed check,0
7,98.24,620.28,1,0,0,1,6,Month-to-month,No,Mailed check,1
21,119.25,2473.97,0,1,0,1,4,Month-to-month,No,Bank transfer,1
39,44.07,1717.13,0,1,1,1,2,Two year,Fiber optic,Electronic check,1
18,107.43,1874.69,0,1,1,1,5,Month-to-month,Fiber optic,Electronic check,0
4,103.06,354.66,0,0,0,0,8,Month-to-month,Fiber optic,Credit card,0
60,42.47,2653.76,0,0,0,1,1,Month-to-month,Fiber optic,Credit card,1
14,59.93,795.99,0,0,0,0,3,Month-to-month,No,Mailed check,0
9,60.97,532.58,0,0,0,0,1,One year,DSL,Mailed check,0
53,117.82,6226.1,0,0,0,0,3,Month-to-month,DSL,Bank transfer,0
2,38.09,55.11,1,1,1,1,1,Month-to-month,Fiber optic,Mailed check,0
60,99.92,6026.27,0,0,1,1,3,Month-to-month,DSL,Mailed check,0
71,53.42,3840.23,0,0,1,1,5,Month-to-month,No,Credit card,0
44,93.09,4080.66,0,0,0,0,1,Two year,Fiber optic,Electronic check,0
8,62.0,434.18,0,0,1,0,4,Two year,Fiber optic,Bank transfer,0
47,77.84,3722.2,0,0,0,0,8,Month-to-month,No,Credit card,0
35,103.26,3609.33,0,0,0,1,4,Month-to-month,Fiber optic,Bank transfer,1
36,100.42,3701.64,1,0,1,0,2,Month-to-month,Fiber optic,Credit card,1
50,106.64,5219.72,0,0,0,1,2,One year,DSL,Electronic check,0
4,25.96,113.61,0,1,0,1,7,One year,Fiber optic,Electronic check,0
2,89.21,274.35,1,0,0,1,6,Month-to-month,DSL,Credit card,0
6,34.0,186.34,0,1,0,1,2,One year,Fiber optic,Mailed check,0
54,61.58,3314.05,0,0,0,0,1,One year,Fiber optic,Bank transfer,0
4,74.86,314.22,0,1,1,1,3,Two year,DSL,Electronic check,1
54,60.27,3226.64,0,0,0,1,6,Month-to-month,Fiber optic,Bank transfer,0
63,71.96,4517.88,0,1,0,1,8,Month-to-month,DSL,Mailed check,0
18,119.65,2136.81,0,0,0,1,8,Month-to-month,No,Electronic check,1
44,33.52,1443.51,0,0,1,1,2,Two year,DSL,Mailed check,0
34,87.55,3038.14,0,0,0,0,5,One year,No,Bank transfer,0
62,59.6,3718.25,0,0,0,0,4,One year,Fiber optic,Electronic check,0
14,33.3,478.73,0,0,1,1,4,Month-to-month,Fiber optic,Bank transfer,1
48,35.87,1762.19,0,1,0,1,5,Month-to-month,DSL,Mailed check,0
15,114.93,1710.73,0,0,0,0,4,Month-to-month,No,Electronic check,1
72,107.96,7734.41,1,0,1,1,1,One year,DSL,Bank transfer,0
62,110.7,6833.27,0,0,0,0,7,Month-to-month,Fiber optic,Electronic check,1
40,119.15,4766.09,0,0,0,0,5,Month-to-month,No,Electronic check,0
53,40.83,2111.03,1,0,0,0,7,One year,No,Mailed check,0
24,55.54,1307.95,0,0,0,0,1,Month-to-month,Fiber optic,Bank transfer,0
26,86.92,2234.11,1,1,1,1,6,Month-to-month,No,Credit card,0
